Slot,Player,Team,Pos,Owner,TeamID
QB,Kirk Cousins,WAS,QB,Scott,1
RB,Ezekiel Elliott,DAL,RB,Scott,1
RB,Alvin Kamara,NOR,RB,Scott,1
WR,A.J. Green,CIN,WR,Scott,1
WR,Will Fuller V,HOU,WR,Scott,1
TE,Jimmy Graham,SEA,TE,Scott,1
FLEX,Christian McCaffrey,CAR,RB,Scott,1
D/ST,Texans,HOU,DST,Scott,1
K,Greg Zuerlein,LAR,K,Scott,1
BENCH,Devin Funchess,CAR,WR,Scott,1
BENCH,Austin Seferian-Jenkins,NYJ,TE,Scott,1
BENCH,Jerick McKinnon,MIN,RB,Scott,1
BENCH,DeVante Parker,MIA,WR,Scott,1
BENCH,Alex Collins,BAL,RB,Scott,1
BENCH,JuJu Smith-Schuster,PIT,WR,Scott,1
QB,Russell Wilson,SEA,QB,Michael,4
RB,LeSean McCoy,BUF,RB,Michael,4
RB,Devonta Freeman,ATL,RB,Michael,4
WR,Doug Baldwin,SEA,WR,Michael,4
WR,Alshon Jeffery,PHI,WR,Michael,4
TE,Evan Engram,NYG,TE,Michael,4
FLEX,LeGarrette Blount,PHI,RB,Michael,4
D/ST,Rams,LAR,DST,Michael,4
K,Matt Bryant,ATL,K,Michael,4
BENCH,Randall Cobb,GNB,WR,Michael,4
BENCH,Seahawks,SEA,DST,Michael,4
BENCH,DeSean Jackson,TAM,WR,Michael,4
BENCH,Bills,BUF,DST,Michael,4
BENCH,Emmanuel Sanders,DEN,WR,Michael,4
BENCH,Davante Adams,GNB,WR,Michael,4
QB,Drew Brees,NOR,QB,Chase,2
RB,Jonathan Stewart,CAR,RB,Chase,2
RB,Derrick Henry,TEN,RB,Chase,2
WR,Demaryius Thomas,DEN,WR,Chase,2
WR,Sammy Watkins,LAR,WR,Chase,2
TE,Jared Cook,OAK,TE,Chase,2
FLEX,Mohamed Sanu,ATL,WR,Chase,2
D/ST,Bengals,CIN,DST,Chase,2
K,Justin Tucker,BAL,K,Chase,2
BENCH,Jordan Reed,WAS,TE,Chase,2
BENCH,Kelvin Benjamin,BUF,WR,Chase,2
BENCH,Chiefs,KAN,DST,Chase,2
BENCH,Derek Carr,OAK,QB,Chase,2
BENCH,Carson Wentz,PHI,QB,Chase,2
BENCH,Brandin Cooks,NWE,WR,Chase,2
QB,Jameis Winston,TAM,QB,Adam,3
RB,Ameer Abdullah,DET,RB,Adam,3
RB,C.J. Anderson,DEN,RB,Adam,3
WR,Mike Evans,TAM,WR,Adam,3
WR,Michael Crabtree,OAK,WR,Adam,3
TE,Austin Hooper,ATL,TE,Adam,3
FLEX,Carlos Hyde,SFO,RB,Adam,3
D/ST,Jaguars,JAC,DST,Adam,3
K,Wil Lutz,NOR,K,Adam,3
BENCH,Bilal Powell,NYJ,RB,Adam,3
BENCH,Steelers,PIT,DST,Adam,3
BENCH,Rishard Matthews,TEN,WR,Adam,3
BENCH,Alfred Morris,DAL,RB,Adam,3
BENCH,Darren McFadden,DAL,RB,Adam,3
BENCH,Hunter Henry,LAC,TE,Adam,3
QB,Alex Smith,KAN,QB,Wyatt,5
RB,Leonard Fournette,JAC,RB,Wyatt,5
RB,Lamar Miller,HOU,RB,Wyatt,5
WR,Tyreek Hill,KAN,WR,Wyatt,5
WR,Dez Bryant,DAL,WR,Wyatt,5
TE,Zach Ertz,PHI,TE,Wyatt,5
FLEX,Jarvis Landry,MIA,WR,Wyatt,5
D/ST,Panthers,CAR,DST,Wyatt,5
K,Adam Vinatieri,IND,K,Wyatt,5
BENCH,Cam Newton,CAR,QB,Wyatt,5
BENCH,Ty Montgomery,GNB,RB,Wyatt,5
BENCH,Ben Roethlisberger,PIT,QB,Wyatt,5
BENCH,Vikings,MIN,DST,Wyatt,5
BENCH,Adam Thielen,MIN,WR,Wyatt,5
BENCH,Tarik Cohen,CHI,RB,Wyatt,5
QB,Matt Ryan,ATL,QB,David,6
RB,Todd Gurley II,LAR,RB,David,6
RB,Chris Thompson,WAS,RB,David,6
WR,Larry Fitzgerald,ARI,WR,David,6
WR,Golden Tate,DET,WR,David,6
TE,Cameron Brate,TAM,TE,David,6
FLEX,DeMarco Murray,TEN,RB,David,6
D/ST,Eagles,PHI,DST,David,6
K,Jake Elliott,PHI,K,David,6
BENCH,Keenan Allen,LAC,WR,David,6
BENCH,Deshaun Watson,HOU,QB,David,6
BENCH,Javorius Allen,BAL,RB,David,6
BENCH,Frank Gore,IND,RB,David,6
BENCH,Nelson Agholor,PHI,WR,David,6
BENCH,Josh Gordon,CLE,WR,David,6
QB,Tyrod Taylor,BUF,QB,Petr,7
RB,Kareem Hunt,KAN,RB,Petr,7
RB,Mark Ingram,NOR,RB,Petr,7
WR,Julio Jones,ATL,WR,Petr,7
WR,Amari Cooper,OAK,WR,Petr,7
TE,Travis Kelce,KAN,TE,Petr,7
FLEX,Doug Martin,TAM,RB,Petr,7
D/ST,Lions,DET,DST,Petr,7
K,Harrison Butker,KAN,K,Petr,7
BENCH,T.Y. Hilton,IND,WR,Petr,7
BENCH,Joe Mixon,CIN,RB,Petr,7
BENCH,Stefon Diggs,MIN,WR,Petr,7
BENCH,Matthew Stafford,DET,QB,Petr,7
BENCH,Ravens,BAL,DST,Petr,7
BENCH,Adrian Peterson,ARI,RB,Petr,7
QB,Dak Prescott,DAL,QB,Samir,8
RB,Marshawn Lynch,OAK,RB,Samir,8
RB,Tevin Coleman,ATL,RB,Samir,8
WR,Michael Thomas,NOR,WR,Samir,8
WR,DeAndre Hopkins,HOU,WR,Samir,8
TE,Jason Witten,DAL,TE,Samir,8
FLEX,Aaron Jones,GNB,RB,Samir,8
D/ST,Broncos,DEN,DST,Samir,8
K,Ryan Succop,TEN,K,Samir,8
BENCH,Aaron Rodgers,GNB,QB,Samir,8
BENCH,Pierre Garcon,SFO,WR,Samir,8
BENCH,Theo Riddick,DET,RB,Samir,8
BENCH,Giants,NYG,DST,Samir,8
BENCH,Marvin Jones Jr.,DET,WR,Samir,8
BENCH,Jack Doyle,IND,TE,Samir,8
