Slot,Player,Team,Pos,Owner,TeamID
QB,Kirk Cousins,WAS,QB,Scott,1
RB,Ezekiel Elliott,DAL,RB,Scott,1
RB,Dalvin Cook,MIN,RB,Scott,1
WR,Dez Bryant,DAL,WR,Scott,1
WR,Martavis Bryant,PIT,WR,Scott,1
TE,Jason Witten,DAL,TE,Scott,1
FLEX,Chris Carson,SEA,RB,Scott,1
D/ST,Dolphins,MIA,DST,Scott,1
K,Wil Lutz,NOR,K,Scott,1
BENCH,Terrelle Pryor Sr.,WAS,WR,Scott,1
BENCH,Christian McCaffrey,CAR,RB,Scott,1
BENCH,Jimmy Graham,SEA,TE,Scott,1
BENCH,Rob Kelley,WAS,RB,Scott,1
BENCH,Marcus Mariota,TEN,QB,Scott,1
BENCH,Rams,LAR,DST,Scott,1
QB,Drew Brees,NOR,QB,Chase,2
RB,Jordan Howard,CHI,RB,Chase,2
RB,Jonathan Stewart,CAR,RB,Chase,2
WR,Odell Beckham Jr.,NYG,WR,Chase,2
WR,Demaryius Thomas,DEN,WR,Chase,2
TE,Vernon Davis,WAS,TE,Chase,2
FLEX,Kelvin Benjamin,CAR,WR,Chase,2
D/ST,Chiefs,KAN,DST,Chase,2
K,Justin Tucker,BAL,K,Chase,2
BENCH,Sammy Watkins,LAR,WR,Chase,2
BENCH,Terrance West,BAL,RB,Chase,2
BENCH,Duke Johnson Jr.,CLE,RB,Chase,2
BENCH,Derek Carr,OAK,QB,Chase,2
BENCH,Jeremy Maclin,BAL,WR,Chase,2
BENCH,Bengals,CIN,DST,Chase,2
QB,Jameis Winston,TAM,QB,Adam,3
RB,Melvin Gordon,LAC,RB,Adam,3
RB,C.J. Anderson,DEN,RB,Adam,3
WR,Mike Evans,TAM,WR,Adam,3
WR,Amari Cooper,OAK,WR,Adam,3
TE,Delanie Walker,TEN,TE,Adam,3
FLEX,Michael Crabtree,OAK,WR,Adam,3
D/ST,Jaguars,JAC,DST,Adam,3
K,Mason Crosby,GNB,K,Adam,3
BENCH,Bilal Powell,NYJ,RB,Adam,3
BENCH,Emmanuel Sanders,DEN,WR,Adam,3
BENCH,Ameer Abdullah,DET,RB,Adam,3
BENCH,Jamison Crowder,WAS,WR,Adam,3
BENCH,Tyrod Taylor,BUF,QB,Adam,3
BENCH,Kerwynn Williams,ARI,RB,Adam,3
QB,Russell Wilson,SEA,QB,Michael,4
RB,LeSean McCoy,BUF,RB,Michael,4
RB,Devonta Freeman,ATL,RB,Michael,4
WR,Doug Baldwin,SEA,WR,Michael,4
WR,Alshon Jeffery,PHI,WR,Michael,4
TE,Martellus Bennett,GNB,TE,Michael,4
FLEX,Isaiah Crowell,CLE,RB,Michael,4
D/ST,Seahawks,SEA,DST,Michael,4
K,Matt Bryant,ATL,K,Michael,4
BENCH,Brandon Marshall,NYG,WR,Michael,4
BENCH,Randall Cobb,GNB,WR,Michael,4
BENCH,LeGarrette Blount,PHI,RB,Michael,4
BENCH,DeSean Jackson,TAM,WR,Michael,4
BENCH,Rishard Matthews,TEN,WR,Michael,4
BENCH,Bills,BUF,DST,Michael,4
QB,Ben Roethlisberger,PIT,QB,Wyatt,5
RB,Leonard Fournette,JAC,RB,Wyatt,5
RB,Lamar Miller,HOU,RB,Wyatt,5
WR,A.J. Green,CIN,WR,Wyatt,5
WR,Tyreek Hill,KAN,WR,Wyatt,5
TE,Zach Ertz,PHI,TE,Wyatt,5
FLEX,Ty Montgomery,GNB,RB,Wyatt,5
D/ST,Panthers,CAR,DST,Wyatt,5
K,Adam Vinatieri,IND,K,Wyatt,5
BENCH,Cam Newton,CAR,QB,Wyatt,5
BENCH,Jarvis Landry,MIA,WR,Wyatt,5
BENCH,Danny Woodhead,BAL,RB,Wyatt,5
BENCH,Chargers,LAC,DST,Wyatt,5
BENCH,Donte Moncrief,IND,WR,Wyatt,5
BENCH,Matt Forte,NYJ,RB,Wyatt,5
QB,Aaron Rodgers,GNB,QB,Samir,8
RB,Le'Veon Bell,PIT,RB,Samir,8
RB,Marshawn Lynch,OAK,RB,Samir,8
WR,Michael Thomas,NOR,WR,Samir,8
WR,DeAndre Hopkins,HOU,WR,Samir,8
TE,Jack Doyle,IND,TE,Samir,8
FLEX,Tevin Coleman,ATL,RB,Samir,8
D/ST,Broncos,DEN,DST,Samir,8
K,Matt Prater,DET,K,Samir,8
BENCH,Paul Perkins,NYG,RB,Samir,8
BENCH,Pierre Garcon,SFO,WR,Samir,8
BENCH,Theo Riddick,DET,RB,Samir,8
BENCH,Giants,NYG,DST,Samir,8
BENCH,Marvin Jones Jr.,DET,WR,Samir,8
BENCH,Dak Prescott,DAL,QB,Samir,8
QB,Matt Ryan,ATL,QB,David,6
RB,DeMarco Murray,TEN,RB,David,6
RB,Todd Gurley II,LAR,RB,David,6
WR,Antonio Brown,PIT,WR,David,6
WR,Larry Fitzgerald,ARI,WR,David,6
TE,Kyle Rudolph,MIN,TE,David,6
FLEX,Keenan Allen,LAC,WR,David,6
D/ST,Buccaneers,TAM,DST,David,6
K,Dan Bailey,DAL,K,David,6
BENCH,Mark Ingram,NOR,RB,David,6
BENCH,Cardinals,ARI,DST,David,6
BENCH,DeVante Parker,MIA,WR,David,6
BENCH,Darren Sproles,PHI,RB,David,6
BENCH,Coby Fleener,NOR,TE,David,6
BENCH,Derrick Henry,TEN,RB,David,6
QB,Matthew Stafford,DET,QB,Petr,7
RB,Jay Ajayi,MIA,RB,Petr,7
RB,Kareem Hunt,KAN,RB,Petr,7
WR,Julio Jones,ATL,WR,Petr,7
WR,T.Y. Hilton,IND,WR,Petr,7
TE,Travis Kelce,KAN,TE,Petr,7
FLEX,Jacquizz Rodgers,TAM,RB,Petr,7
D/ST,Ravens,BAL,DST,Petr,7
K,Blair Walsh,SEA,K,Petr,7
BENCH,Joe Mixon,CIN,RB,Petr,7
BENCH,Frank Gore,IND,RB,Petr,7
BENCH,Doug Martin,TAM,RB,Petr,7
BENCH,Stefon Diggs,MIN,WR,Petr,7
BENCH,Andrew Luck,IND,QB,Petr,7
BENCH,Javorius Allen,BAL,RB,Petr,7
