playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"2504797","null","Matt Bryant","K","ATL","K","ATL","-30.35","126.6788","null","216.8","292","17","null","null","0.8256","161.682","130.318","0.68","133.0034","116.3388","4.1106","21",
"2552605","null","Ibraheim Campbell","DB","CLE","DB","CLE","-30.3586","94.0101","null","null","293","25","null","null","0.4108","170","123","0.5","101.7809","83.35","6.9674","7",
"2541302","null","Brandon Williams","DL","BAL","DL","BAL","-30.4331","50.5191","null","null","294","53","null","null","0.7567","170","124","0.5","52.3643","48.45","null","null",
"2553433","null","Mario Edwards","DL","OAK","DL","OAK","-30.4575","50.4948","null","null","295","54","null","null","1.7302","228.9","66.1","0.5","54.8779","46.3","7.4422","null",
"496723","null","Eric Berry","DB","KC","DB","KC","-30.459","93.9097","null","null","296","26","null","null","0.7818","213.4","82.6","1","107.2103","78.3","4.5505","32",
"2507225","null","Nick Folk","K","NYJ","K","NYJ","-30.579","126.4498","null","178.5","297","18","null","null","2.0893","156.03","140.97","0.5775","133.6593","112.1775","4.9673","12",
"2532870","null","Melvin Ingram","LB","SD","LB","SD","-30.6901","85.7915","null","null","298","55","null","null","1.2495","170","128","1","88.1721","82.1602","7.5185","2",
"2539205","null","Terrance Williams","WR","DAL","WR","DAL","-31.0445","91.2219","null","159","299","58","null","null","2.3071","155.208","143.792","1.19","96.9871","82.6","3.8033","49",
"2543469","null","Calvin Pryor","DB","NYJ","DB","NYJ","-31.0799","93.2889","null","null","300","27","null","null","0.4031","195.8","104.2","2.35","97.9691","85.4904","6.0843","16",
"2552582","null","Jay Ajayi","RB","MIA","RB","MIA","-31.2977","99.8411","null","106.3","301","40","null","null","0.8426","105.9233","195.0767","4.265","112.8716","83.5656","7.386","15",
"2507167","null","Reggie Nelson","DB","OAK","DB","OAK","-31.4019","92.9669","null","null","302","28","null","null","0.4939","221.5","80.5","0.5","103.0153","75.9","3.7603","49",
"2552689","null","Ronald Darby","DB","BUF","DB","BUF","-31.5641","92.8047","null","null","303","29","null","null","0.7151","170.3","132.7","1.4","93.4348","91.75","4.6899","29",
"2540020","null","Theo Riddick","RB","DET","RB","DET","-31.7377","99.4011","null","124.4","304","41","null","null","3.7082","131.5917","172.4083","1.895","113.5398","81.8376","4.7398","20",
"2506386","null","Mike Nugent","K","CIN","K","CIN","-31.7721","125.2566","null","163","305","19","null","null","2.4307","159.74","145.26","0.57","130.2181","114.6","3.4084","25",
"71265","null","Jared Cook","TE","GB","TE","GB","-31.8709","81.2875","null","154.3","306","19","null","null","3.9279","137.455","168.545","1.825","92.8295","70.2","4.5336","7",
"2532804","null","Zach Brown","LB","BUF","LB","BUF","-31.8754","84.6063","null","null","307","56","null","null","0.1984","170","137","0.5","99.4098","68.1602","5.0955","17",
"270","null","Kendall Langford","DL","IND","DL","IND","-31.9222","49.03","null","null","308","55","null","null","0.8405","170","138","0","50.8022","46.8301","3.0484","null",
"2541535","null","Paul Worrilow","LB","ATL","LB","ATL","-32.004","84.4777","null","null","309","57","null","null","0.2929","170","139","0.5","91.6237","75.4904","7.0935","3",
"2533538","null","Chandler Jones","LB","ARI","LB","ARI","-32.1436","84.338","null","null","310","58","null","null","0.3541","null","null","3","95.8145","70.7","null","56",
"2540170","null","David Amerson","DB","OAK","DB","OAK","-32.2274","92.1413","null","null","311","30","null","null","0.3834","200.9","110.1","0.5","97.9229","84.6904","6.3632","12",
"494323","null","T.J. Ward","DB","DEN","DB","DEN","-32.3311","92.0377","null","null","312","31","null","null","0.8417","181","131","0.5","94.3743","89.6904","3.9927","39",
"2540159","null","Kevin Minter","LB","ARI","LB","ARI","-32.4502","84.0315","null","null","313","59","null","null","0.9279","170","143","0.5","96.2335","65.85","5.3081","16",
"2540176","null","William Gholston","DL","TB","DL","TB","-32.4532","48.499","null","null","314","56","null","null","0.9951","170","144","1","60.3914","29","4.4084","null",
"2556075","null","Derrick Henry","RB","TEN","RB","TEN","-32.5429","98.5958","null","99.7","315","42","null","null","5.947","95.375","219.625","4.63","111.5862","64.3364","5.405","13",
"2555161","null","Blake Martinez","LB","GB","LB","GB","-32.5452","83.9364","null","null","316","60","null","null","5.2291","170","146","0.5","102.8826","55.8","6.6258","6",
"2555342","null","Karl Joseph","DB","OAK","DB","OAK","-32.8906","91.4781","null","null","317","32","null","null","0.7932","212.1","104.9","1","108.7767","67.1602","3.2491","51",
"2543490","null","Demarcus Lawrence","DL","DAL","DL","DAL","-33.0723","47.88","null","null","318","57","null","null","0.8342","null","null","2","50.0509","44.45","5.0884","null",
"2552424","null","Phillip Dorsett","WR","IND","WR","IND","-33.2214","89.0451","null","135.6","319","59","null","null","1.4918","144.912","174.088","1.6425","103.3911","69.8","4.6403","42",
"2506108","null","DeAngelo Hall","DB","WAS","DB","WAS","-33.4549","90.9139","null","null","320","33","null","null","1.255","170","150","0.5","101.6369","75.5904","null","73",
"2555466","null","Tyler Boyd","WR","CIN","WR","CIN","-33.4818","88.7846","null","149.3","321","60","null","null","3.4305","143.8483","177.1517","2.2575","110.0471","60","5.8691","15",
"2539227","null","Dustin Hopkins","K","WAS","K","WAS","-33.5645","123.4643","null","175","322","20","null","null","2.2243","170.3925","151.6075","0.3467","129.3268","117.6","4.4333","19",
"2540163","null","Bennie Logan","DL","PHI","DL","PHI","-33.8243","47.1279","null","null","323","58","null","null","0.2879","170","153","0.5","52.1274","40.3301","7.6514","null",
"89756","null","Jason McCourty","DB","TEN","DB","TEN","-33.9128","90.456","null","null","324","34","null","null","1.7133","203.6","120.4","1.15","95.46","82.55","3.8998","42",
"2555275","null","DeForest Buckner","DL","SF","DL","SF","-33.9885","46.9637","null","null","325","59","null","null","0.3017","170","155","1","50.8493","41.35","5.4022","null",
"79844","null","Dannell Ellerbe","LB","NO","LB","NO","-34.2108","82.2708","null","null","326","61","null","null","7.4816","170","156","0.5","92.421","65.3602","null","50",
"2495723","null","Brian Robison","DL","MIN","DL","MIN","-34.236","46.7162","null","null","327","60","null","null","0.1519","170","157","0","49.9596","41.5","6.0299","null",
"2535718","null","Damon Harrison","DL","NYG","DL","NYG","-34.3445","46.6077","null","null","328","61","null","null","0.1323","170","158","0.5","46.8478","46.3301","10.9468","null",
"2540147","null","Johnathan Hankins","DL","NYG","DL","NYG","-34.4313","46.5209","null","null","329","62","null","null","0.2957","170","159","0.5","52.3855","36.2","null","null",
"2552272","null","Henry Anderson","DL","IND","DL","IND","-34.5223","46.4299","null","null","330","63","null","null","0.8946","170","160","0.5","60.5412","16.05","5.3499","null",
"2553833","null","Josh Lambo","K","SD","K","SD","-34.8412","122.1876","null","161.5","331","21","null","null","2.0489","160.28","170.72","0.775","128.2096","113.4531","3.3872","26",
"2532989","null","Derrick Shelby","DL","ATL","DL","ATL","-34.9316","46.0206","null","null","332","64","null","null","1.0112","170","162","0.5","54.8399","36.8699","4.7222","null",
"2506345","null","Adam Jones","DB","CIN","DB","CIN","-35.5069","88.8618","null","null","333","35","null","null","0.3459","195.6","137.4","0.5","96.37","82.4904","5.3871","23",
"2539233","null","Shawn Williams","DB","CIN","DB","CIN","-35.7452","88.6236","null","null","334","36","null","null","0.4431","170","164","0.5","94.837","80.1","5.5266","21",
"2552397","null","Clive Walford","TE","OAK","TE","OAK","-35.7618","77.3967","null","167.5","335","20","null","null","3.3025","151.598","183.402","1.4575","84.8235","51.1","5.0521","6",
"2495438","null","Kyle Rudolph","TE","MIN","TE","MIN","-35.836","77.3225","null","180.5","336","21","null","null","8.0968","147.268","188.732","1.3275","86.2798","68.6","5.4008","9",
"2539224","null","Tank Carradine","DL","SF","DL","SF","-35.9022","45.05","null","null","337","65","null","null","0.0951","170","167","0","45.05","45.05","null","null",
"2555214","null","Laquon Treadwell","WR","MIN","WR","MIN","-35.9445","86.3219","null","146.8","338","61","null","null","1.9817","139.146","198.854","3.63","106.3494","65.07","7.3522","3",
"71441","null","Glover Quin","DB","DET","DB","DET","-35.9604","88.4084","null","null","339","37","null","null","0.5762","170","169","0.5","99.1992","73.25","4.4575","34",
"2553805","null","David Irving","DL","DAL","DL","DAL","-35.9835","44.9688","null","null","340","66","null","null","0.0732","170","170","0","50.887","36.85","null","null",
"89758","null","Clinton McDonald","DL","TB","DL","TB","-36.0111","44.9411","null","null","341","67","null","null","0.1812","170","171","0.5","48.4309","38.3301","6.9191","null",
"79611","null","Roy Miller","DL","JAC","DL","JAC","-36.1022","44.85","null","null","342","68","null","null","0.4246","170","172","0","44.85","44.85","null","null",
"2508083","null","Dan Williams","DL","OAK","DL","OAK","-36.2824","44.6699","null","null","343","69","null","null","0.5128","170","173","0","44.8666","44.4","null","null",
"2495824","null","Jay Cutler","QB","CHI","QB","CHI","-36.3152","212.8074","null","159.3","344","24","null","null","9.4939","151.246","192.754","2.015","228.626","197.3","5.236","23",
"2539243","null","Bradley McDougald","DB","TB","DB","TB","-36.4163","87.9525","null","null","345","38","null","null","0.6683","170","175","0.5","95.5817","78.9904","5.0618","25",
"2552568","null","Byron Jones","DB","DAL","DB","DAL","-36.6569","87.7119","null","null","346","39","null","null","1.2602","170","176","0.5","90.8323","83","5.7125","20",
"2504257","null","Sebastian Janikowski","K","OAK","K","OAK","-36.7364","120.2924","null","166","347","22","null","null","0.7229","147.72","199.28","1.3375","128.5021","107.1","4.7188","14",
"2495478","null","Marcell Dareus","DL","BUF","DL","BUF","-36.7712","44.181","null","null","348","70","null","null","0.1067","170","178","1","44.8521","43","5.7683","null",
"2495481","null","Lawrence Guy","DL","BAL","DL","BAL","-36.8191","44.1331","null","null","349","71","null","null","0.7227","170","179","0","45.2082","42.1","null","null",
"2506931","null","Kyle Williams","DL","BUF","DL","BUF","-36.9368","44.0155","null","null","350","72","null","null","1.2452","170","180","0.5","47.2734","38.5","6.7099","null",
"2555408","null","Roberto Aguayo","K","TB","K","TB","-37.0439","119.9849","null","201.8","351","23","null","null","2.0734","153.7","197.3","1.425","124.6264","104.5","5.3313","7",
"2532920","null","Josh Norman","DB","WAS","DB","WAS","-37.5123","86.8564","null","null","352","40","null","null","0.9632","133.8","218.2","4.2","93.8004","77.45","9.1985","1",
"2506194","null","Nick Novak","K","HOU","K","HOU","-37.8747","119.1541","null","228.5","353","24","null","null","2.9052","159.488","193.512","0.5375","131.1268","93.9","4.9699","11",
"2505587","null","Anquan Boldin","WR","DET","WR","DET","-37.8802","84.3862","null","165","354","62","null","null","0.4292","148.358","205.642","0.985","109.2408","68.4821","4.722","10",
"2533436","null","Brock Osweiler","QB","HOU","QB","HOU","-37.9309","211.1917","null","175.5","355","25","null","null","21.9511","136.096","218.904","2.7775","233.1514","176.62","4.9516","12",
"71217","null","Kenny Britt","WR","LA","WR","LA","-37.9723","84.2942","null","195.2","356","63","null","null","1.1703","171.5475","184.4525","0.6667","95.3918","72.5","4.4032","32",
"2507557","null","Chris Baker","DL","WAS","DL","WAS","-38.1469","42.8054","null","null","357","73","null","null","0.1722","170","187","1","46.7979","38.3","null","null",
"2495561","null","Alan Branch","DL","NE","DL","NE","-38.217","42.7352","null","null","358","74","null","null","0.2981","null","null","0","50.3421","32.3","null","null",
"2540164","null","Tony Jefferson","DB","ARI","DB","ARI","-38.3218","86.0469","null","null","359","41","null","null","0.3724","187.1","171.9","1.45","95.9104","70.4205","6.1773","14",
"2495473","null","Shane Vereen","RB","NYG","RB","NYG","-38.3488","92.79","null","158.2","360","43","null","null","1.4353","151.4925","208.5075","1.4","98.1159","82.6207","4.209","33",
"2533433","null","Akiem Hicks","DL","CHI","DL","CHI","-38.4211","42.5311","null","null","361","75","null","null","0.4432","170","191","0.5","42.7316","42.3","null","null",
"2553820","null","Bobby Richardson","DL","NO","DL","NO","-38.6092","42.343","null","null","362","76","null","null","0.5311","170","192","0","44.3476","40.25","null","null",
"71251","null","Patrick Chung","DB","NE","DB","NE","-38.6292","85.7395","null","null","363","42","null","null","0.1817","227.4","135.6","0","89.8934","78.3205","6.3167","13",
"2543664","null","Terrance West","RB","BAL","RB","BAL","-38.631","92.5077","null","145","364","44","null","null","3.288","149.742","214.258","1.4833","119.7147","69.64","6.4955","2",
"2540169","null","Robert Woods","WR","BUF","WR","BUF","-38.6466","83.6198","null","195.3","365","64","null","null","1.1279","160.385","204.615","0.7033","97.8201","71.1616","5.0332","30",
"2495272","null","Chris Conte","DB","TB","DB","TB","-38.7592","85.6095","null","null","366","43","null","null","0.2145","170","196","0.5","93.7604","74.6506","null","69",
"2534832","null","Rodney McLeod","DB","PHI","DB","PHI","-38.8625","85.5062","null","null","367","44","null","null","0.2535","170","197","0.5","97.7271","65.1","3.8533","44",
"2539309","null","T.J. McDonald","DB","LA","DB","LA","-39.085","85.2838","null","null","368","45","null","null","0.1303","210.3","157.7","0.5","93.7068","75.4904","6.0843","16",
"79603","null","SenDerrick Marks","DL","JAC","DL","JAC","-39.1193","41.833","null","null","369","77","null","null","0.3127","170","199","0.5","47.9095","31.15","5.9253","null",
"2495108","null","Prince Amukamara","DB","JAC","DB","JAC","-39.147","85.2217","null","null","370","46","null","null","0.5791","170","200","0.5","94.386","72.65","4.8294","27",
"2553431","null","Dante Fowler","DL","JAC","DL","JAC","-39.1613","41.7909","null","null","371","78","null","null","0.5483","null","null","4","66.3125","0","null","null",
"2532875","null","Janoris Jenkins","DB","NYG","DB","NYG","-39.2835","85.0852","null","null","372","47","null","null","1.4778","170","202","1","90.8807","78.4","4.0857","37",
"2507166","null","Ted Ginn","WR","CAR","WR","CAR","-39.6386","82.6279","null","171.4","373","65","null","null","0.3132","142.35","230.65","1.77","97.3791","69.1816","4.9365","36",
"2543461","null","Timmy Jernigan","DL","BAL","DL","BAL","-39.7026","41.2496","null","null","374","79","null","null","0.2014","170","204","0.5","45.6229","36.5","7.756","null",
"2533451","null","John Hughes","DL","CLE","DL","CLE","-39.7166","41.2356","null","null","375","80","null","null","0.4303","null","null","null","49.7074","31.25","null","null",
"2555317","null","Tajae Sharpe","WR","TEN","WR","TEN","-39.9105","82.3559","null","147.7","376","66","null","null","2.7851","137.9317","238.0683","1.975","95.7351","41.3","8.4804","1",
"2540202","null","Kenny Stills","WR","MIA","WR","MIA","-39.9931","82.2733","null","161.2","377","67","null","null","6.6676","163.4","213.6","0.6967","97.2275","60.8916","7.1952","5",
"2506879","null","Haloti Ngata","DL","DET","DL","DET","-40.0916","40.8607","null","null","378","81","null","null","0.4097","170","208","0.5","41.7184","39.1","null","null",
"2535687","null","Michael Thomas","DB","MIA","DB","MIA","-40.1688","84.2","null","null","379","48","null","null","1.4363","170","209","0.5","84.2","84.2","null","null",
"2495247","null","Ian Williams","DL","SF","DL","SF","-40.2022","40.75","null","null","380","82","null","null","0.7485","170","210","0.5","40.75","40.75","null","null",
"2553112","null","Jason Myers","K","JAC","K","JAC","-40.3601","116.6687","null","176","381","25","null","null","1.4023","171.085","209.915","0.4033","121.8546","104.4","4.4277","20",
"2533050","null","Michael Brockers","DL","LA","DL","LA","-40.8004","40.1518","null","null","382","83","null","null","0.4024","170","212","0.5","43.4309","36.8301","null","null",
"2506467","null","Darren Sproles","RB","PHI","RB","PHI","-40.9372","90.2015","null","150.8","383","45","null","null","2.0816","137.955","245.045","1.5075","97.0745","77.4","4.2004","22",
"2532821","null","Tyrone Crawford","DL","DAL","DL","DAL","-41.1011","39.8511","null","null","384","84","null","null","0.3849","170","214","0","42.0394","36","null","null",
"2500351","null","Phil Dawson","K","SF","K","SF","-41.1997","115.8291","null","161","385","26","null","null","6.0643","171.7467","213.2533","0.6033","125.5392","104.7041","5.2742","8",
"2552325","null","Danny Shelton","DL","CLE","DL","CLE","-41.3045","39.6477","null","null","386","85","null","null","0.4304","170","216","0","47.2793","28.2","null","null",
"2532331","null","Michael Wilhoite","LB","SF","LB","SF","-41.3377","75.1439","null","null","387","62","null","null","1.1273","170","217","0.5","78.9663","72","8.1137","null",
"71353","null","Rashad Johnson","DB","TEN","DB","TEN","-41.3539","83.0149","null","null","388","49","null","null","0.6456","170","218","0.5","96.6169","66.4","3.9463","41",
"2532822","null","Jared Crick","DL","DEN","DL","DEN","-41.6675","39.2847","null","null","389","86","null","null","0.1649","170","219","0","49.765","25","null","null",
"2539292","null","Jordan Hill","DL","SEA","DL","SEA","-41.8022","39.15","null","null","390","87","null","null","0.514","170","220","0","39.15","39.15","null","null",
"496735","null","Kareem Jackson","DB","HOU","DB","HOU","-41.8564","82.5124","null","null","391","50","null","null","0.2933","170","221","0","87.5757","73.4301","null","68",
"2539329","null","Star Lotulelei","DL","CAR","DL","CAR","-41.8625","39.0898","null","null","392","88","null","null","1.1512","170","222","0","39.4832","38.55","null","null",
"2495229","null","Kelvin Sheppard","LB","NYG","LB","NYG","-42.0472","74.4344","null","null","393","63","null","null","1.1094","170","223","0","86.6304","49.4","null","53",
"2540162","null","Logan Ryan","DB","NE","DB","NE","-42.1426","82.2261","null","null","394","51","null","null","0.0524","153.7","240.3","1.4","84.7124","77.95","6.5956","10",
"2552389","null","Damarious Randall","DB","GB","DB","GB","-42.1566","82.2121","null","null","395","52","null","null","0.1153","170","225","0","83.4822","80.3","5.8519","19",
"2541958","null","Jahleel Addae","DB","SD","DB","SD","-42.2334","82.1354","null","null","396","53","null","null","0.1766","170","226","0.5","93.2699","64.6602","5.0153","26",
"2495267","null","Jordan Cameron","TE","MIA","TE","MIA","-42.2925","70.866","null","174.4","397","22","null","null","3.9408","159.382","237.618","0.7575","81.6527","55.1","5.5996","4",
"2550613","null","Malcolm Butler","DB","NE","DB","NE","-42.3105","82.0582","null","null","398","54","null","null","0.316","213.7","184.3","0","88.6562","71.65","4.1787","36",
"2534797","null","Greg Zuerlein","K","LA","K","LA","-42.3249","114.7039","null","168","399","27","null","null","11.049","167.0367","231.9633","0.7733","119.7367","104.5","5.2453","9",
"2539290","null","Jordan Poyer","DB","CLE","DB","CLE","-42.5094","81.8594","null","null","400","55","null","null","0.7231","null","null","1","86.8596","75","null","80",
"2543823","null","E.J. Gaines","DB","LA","DB","LA","-42.7436","81.6252","null","null","401","56","null","null","1.0395","170","231","0","87.6881","75.6","null","83",
"2555336","null","Robert Nkemdiche","DL","ARI","DL","ARI","-42.77","38.1823","null","null","402","89","null","null","0.5142","170","232","0.5","45.956","30","5.873","null",
"80431","null","Clay Matthews","LB","GB","LB","GB","-42.8828","73.5988","null","null","403","64","null","null","0.6232","174.1","228.9","3.85","78.7317","66.6602","5.7332","null",
"2555223","null","Devontae Booker","RB","DEN","RB","DEN","-42.9009","88.2379","null","149.4","404","46","null","null","2.7071","135.56","268.44","2.2575","106.17","69.4","6.2783","14",
"497206","null","James Starks","RB","GB","RB","GB","-43.1368","88.002","null","153.1","405","47","null","null","5.4679","140.6267","264.3733","1.415","101.7468","66.0802","4.6085","18",
"2555235","null","Adolphus Washington","DL","BUF","DL","BUF","-43.2574","37.6948","null","null","406","90","null","null","0.622","170","236","0.5","55.5258","9.15","null","null",
"2532801","null","Andre Branch","DL","MIA","DL","MIA","-43.3108","37.6414","null","null","407","91","null","null","1.187","170","237","0","39.4641","33.9","null","null",
"1363","null","Erin Henderson","LB","NYJ","LB","NYJ","-43.4304","73.0512","null","null","408","65","null","null","0.7494","null","null","0","78.4132","65.75","null","null",
"2555345","null","Sua Cravens","LB","WAS","LB","WAS","-43.5816","72.9","null","null","409","66","null","null","1.7087","null","null","1","72.9","72.9","null","null",
"2495153","null","Marcus Gilchrist","DB","NYJ","DB","NYJ","-43.7214","80.6474","null","null","410","57","null","null","0.209","170","240","0","84.0593","73.95","6.9674","7",
"2533060","null","Dre Kirkpatrick","DB","CIN","DB","CIN","-43.8449","80.5239","null","null","411","58","null","null","0.1845","170","241","0","82.6573","78.15","null","78",
"2530510","null","Chris Harris","DB","DEN","DB","DEN","-44.0159","80.3528","null","null","412","59","null","null","0.0406","170","242","0","86.0718","72.05","null","75",
"2532848","null","Tashaun Gipson","DB","JAC","DB","JAC","-44.0429","80.3258","null","null","413","60","null","null","0.19","170","243","0.5","86.4273","74.6602","4.6899","29",
"2495343","null","Buster Skrine","DB","NYJ","DB","NYJ","-44.0701","80.2986","null","null","414","61","null","null","0.3631","170","244","0","85.9677","73.4904","3.1561","53",
"2543799","null","Ross Cockrell","DB","PIT","DB","PIT","-44.3957","79.973","null","null","415","62","null","null","0.1374","170","245","0","80.5889","79","null","82",
"2495479","null","Nick Fairley","DL","NO","DL","NO","-44.4479","36.5043","null","null","416","92","null","null","0.2659","170","246","0","39.6975","31.7","null","null",
"494254","null","Nolan Carroll","DB","PHI","DB","PHI","-44.4708","79.898","null","null","417","63","null","null","0.132","null","null","0","87.6303","70.8602","null","66",
"2543812","null","Justin Ellis","DL","OAK","DL","OAK","-44.5476","36.4046","null","null","418","93","null","null","0.5641","170","248","0","43.0195","27.3","null","null",
"496733","null","Joe Haden","DB","CLE","DB","CLE","-44.5954","79.7734","null","null","419","64","null","null","0.0472","170","249","0.5","83.2558","75.9","6.4097","11",
"238227","null","Mike Mitchell","DB","PIT","DB","PIT","-44.6101","79.7586","null","null","420","65","null","null","0.2023","170","250","0.5","84.3081","71.35","null","65",
"1298","null","Leodis McKelvin","DB","PHI","DB","PHI","-44.675","79.6937","null","null","421","66","null","null","0.4636","224.7","196.3","0","80.9129","77.8205","null","63",
"2495201","null","Pernell McPhee","LB","CHI","LB","CHI","-44.778","71.7036","null","null","422","67","null","null","1.0968","null","null","1","88.7317","43.3301","null","52",
"2543503","null","Trent Murphy","DL","WAS","DL","WAS","-44.88","36.0722","null","null","423","94","null","null","0.5642","null","null","0","42.197","23.5","null","null",
"2543850","null","Ricardo Allen","DB","ATL","DB","ATL","-44.9499","79.4189","null","null","424","67","null","null","0.4917","170","254","0","84.0777","74.95","3.8533","44",
"2495310","null","Byron Maxwell","DB","MIA","DB","MIA","-45.3273","79.0415","null","null","425","68","null","null","0.2957","170","255","0","92.1611","58.4904","null","70",
"2552493","null","Arik Armstead","DL","SF","DL","SF","-45.3434","35.6089","null","null","426","95","null","null","0.3222","170","256","0","44.969","19.7","6.5006","null",
"2532887","null","Jermaine Kearse","WR","SEA","WR","SEA","-45.3982","76.8682","null","201.9","427","68","null","null","3.6751","171.1975","255.8025","0.77","93.9759","50.9832","6.2724","16",
"2505916","null","Vince Wilfork","DL","HOU","DL","HOU","-45.5452","35.4071","null","null","428","96","null","null","0.2739","170","258","0.5","44.014","23.6","null","null",
"2552385","null","Adrian Amos","DB","CHI","DB","CHI","-45.5558","78.8129","null","null","429","69","null","null","0.6449","170","259","0.5","90.3471","65.35","7.1069","5",
"2543794","null","Crockett Gillmore","TE","BAL","TE","BAL","-45.5731","67.5854","null","219.3","430","23","null","null","2.1257","160.425","269.575","0.3767","77.7991","52.6733","6.0222","null",
"2532869","null","George Iloka","DB","CIN","DB","CIN","-45.6901","78.6786","null","null","431","70","null","null","1.0499","170","261","0","86.1597","70.75","null","77",
"2543504","null","DaQuan Jones","DL","TEN","DL","TEN","-45.786","35.1663","null","null","432","97","null","null","0.2934","170","262","0","39.537","28.45","null","null",
"2550930","null","Todd Davis","LB","DEN","LB","DEN","-45.8028","70.6789","null","null","433","68","null","null","0.1732","170","263","0.5","85.151","52.7","7.0084","4",
"2495210","null","Stephen Paea","DL","CLE","DL","CLE","-45.8522","35.1","null","null","434","98","null","null","0.5663","170","264","0","35.1","35.1","null","null",
"2495190","null","Ryan Kerrigan","LB","WAS","LB","WAS","-45.9468","70.5348","null","null","435","69","null","null","0.101","170","265","0.5","81.311","46.4","5.9032","13",
"2495493","null","Justin Houston","LB","KC","LB","KC","-46.0051","70.4765","null","null","436","70","null","null","0.212","170","266","0.5","72.4869","66.35","8.1987","null",
"2506029","null","Daryl Smith","LB","TB","LB","TB","-46.0905","70.3911","null","null","437","71","null","null","0.2637","170","267","0.5","80.2408","58.85","6.2858","9",
"2539325","null","Datone Jones","DL","GB","DL","GB","-46.3066","34.6457","null","null","438","99","null","null","0.544","null","null","0","38.7601","26.2","null","null",
"2506881","null","Chad Greenway","LB","MIN","LB","MIN","-46.3436","70.1381","null","null","439","72","null","null","0.1195","170","269","0","84.0834","50.05","6.6258","6",
"2543869","null","Devon Kennard","LB","NYG","LB","NYG","-46.3649","70.1167","null","null","440","73","null","null","0.4695","170","270","0.5","76.3597","58.4904","5.4781","null",
"2539960","null","Quinton Dial","DL","SF","DL","SF","-46.5306","34.4217","null","null","441","100","null","null","0.7645","170","271","0","47.9291","14.8","null","null",
"2506883","null","Tamba Hali","LB","KC","LB","KC","-46.5611","69.9205","null","null","442","74","null","null","0.8261","170","272","0","75.0456","63.6","null","null",
"280","null","Dwight Lowery","DB","SD","DB","SD","-46.7113","77.6574","null","null","443","71","null","null","0.2153","170","273","0.5","82.5046","70.3","7.3393","4",
"2543739","null","Dontae Johnson","DB","SF","DB","SF","-46.7688","77.6","null","null","444","72","null","null","0.3471","null","null","null","77.6","77.6","null","null",
"2540215","null","Vance McDonald","TE","SF","TE","SF","-46.8936","66.2649","null","171.3","445","24","null","null","1.8829","162.504","282.496","0.8325","79.8614","57","5.3591","null",
"4365","null","Brandon Carr","DB","DAL","DB","DAL","-47.0846","77.2842","null","null","446","73","null","null","0.3577","170","276","0","77.6701","76.6","null","null",
"71249","null","Jonathan Casillas","LB","NYG","LB","NYG","-47.1079","69.3738","null","null","447","75","null","null","0.6909","170","277","0","85.2554","48.1602","7.9861","1",
"306","null","Dominique Rodgers-Cromartie","DB","NYG","DB","NYG","-47.1472","77.2215","null","null","448","74","null","null","0.8958","170","278","0.5","79.2051","73.15","null","null",
"218","null","Glenn Dorsey","DL","SF","DL","SF","-47.1706","33.7816","null","null","449","101","null","null","0.2653","170","279","0","39.1261","26.45","null","null",
"276","null","Chris Long","DL","NE","DL","NE","-47.4196","33.5326","null","null","450","102","null","null","0.1759","170","280","0.5","41.3198","22.85","5.7683","null",
"2543487","null","Dominique Easley","DL","LA","DL","LA","-47.4522","33.5","null","null","451","103","null","null","0.2967","170","281","0","33.5","33.5","null","null",
"2543717","null","Jeremiah Attaochu","LB","SD","LB","SD","-47.6666","68.815","null","null","452","76","null","null","0.388","null","null","0","70.7893","66.9","null","null",
"2540152","null","Eric Reid","DB","SF","DB","SF","-47.7373","76.6314","null","null","453","75","null","null","0.6893","170","283","0.5","85.7698","61","6.6886","9",
"2550575","null","Zach Kerr","DL","IND","DL","IND","-47.7388","33.2135","null","null","454","104","null","null","0.0863","null","null","null","43.5746","19","null","null",
"2495677","null","Brandon Mebane","DL","SD","DL","SD","-47.759","33.1932","null","null","455","105","null","null","0.1793","170","285","0","42.47","21.1","null","null",
"1344","null","Ahtyba Rubin","DL","SEA","DL","SEA","-47.891","33.0612","null","null","456","106","null","null","0.2978","170","286","0","35.1105","30.25","null","null",
"2530515","null","Chris Hogan","WR","NE","WR","NE","-47.9232","74.3432","null","163.3","457","69","null","null","3.2412","145.608","311.392","1.7","90.153","54","5.8668","22",
"496820","null","Koa Misi","LB","MIA","LB","MIA","-47.9309","68.5507","null","null","458","77","null","null","0.5319","170","288","0","70.7154","64.5","null","null",
"2550312","null","Kerry Wynn","DL","NYG","DL","NYG","-47.9856","32.9666","null","null","459","107","null","null","0.4618","null","null","0","36.5849","27.25","null","null",
"2540204","null","Spencer Ware","RB","KC","RB","KC","-48.0791","83.0597","null","127.9","460","48","null","null","1.1023","135.88","324.12","2.0475","106.4873","47.6","6.3528","5",
"2533049","null","Whitney Mercilus","LB","HOU","LB","HOU","-48.1783","68.3034","null","null","461","78","null","null","0.5909","170","291","0.5","73.5979","58.3301","8.1562","null",
"2543872","null","Nevin Lawson","DB","DET","DB","DET","-48.3487","76.02","null","null","462","76","null","null","0.1637","null","null","0","78.643","70.4","null","null",
