Player,Team,Pos,Opp,GameTime,Cmp_Att,PsYds,PsTD,Int,RsAtt,RsYds,RsTD,Rec,RcYds,RcTD,1_39,40_49,50plus,KTot,XP,TT,Sck,FumF,FumR,Int,IntTD,FumTD,FFPts
Landry Jones,PIT,QB,NE,L 16-27,22.2/38.6,244.9,1.7,1.7,1.5,5.6,0.0,0.0,0.0,0.0,,,,,,,,,,1.7,,,12.4
Sam Bradford,MIN,QB,@Phi,L 10-21,21.3/32.7,236.6,1.1,0.8,1.9,5.4,0.0,0.0,0.0,0.0,,,,,,,,,,0.8,,,11.8
Geno Smith,NYJ,QB,Bal,W 24-16,20/34.7,214.6,1.3,1.4,3.6,19.2,0.1,0.0,0.0,0.0,,,,,,,,,,1.4,,,11.5
Trevor Siemian,DEN,QB,Hou,W 27-9,19.3/31.7,200.9,1.3,1.0,2.6,9.3,0.1,0.0,0.0,0.0,,,,,,,,,,1.0,,,11.1
Cody Kessler,CLE,QB,@Cin,L 17-31,21.7/34.8,241.5,1.0,1.2,1.7,7.1,0.1,0.0,0.0,0.0,,,,,,,,,,1.2,,,10.8
Brock Osweiler,HOU,QB,@Den,L 9-27,20.3/35.1,205.4,1.1,1.1,2.4,4.6,0.0,0.0,0.0,0.0,,,,,,,,,,1.1,,,10.1
Case Keenum,LAR,QB,NYG,L 10-17,19.9/33.2,216.1,1.0,1.1,2.4,6.2,0.1,0.0,0.0,0.0,,,,,,,,,,1.1,,,9.8
Matt Schaub,ATL,QB,SD,L 30-33,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Chad Henne,JAC,QB,Oak,L 16-33,0.1/0.2,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Brett Hundley,GNB,QB,Chi,W 26-10,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Matt Cassel,TEN,QB,Ind,L 26-34,0.1/0.1,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Mike Glennon,TAM,QB,@SF,W 34-17,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
EJ Manuel,BUF,QB,@Mia,L 25-28,0.1/0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Dan Orlovsky,DET,QB,Wsh,W 20-17,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
AJ McCarron,CIN,QB,Cle,W 31-17,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Matt McGloin,OAK,QB,@Jax,W 33-16,0.1/0.2,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Jimmy Garoppolo,NWE,QB,@Pit,W 27-16,0.1/0.2,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Kellen Clemens,SDG,QB,@Atl,W 33-30,0.1/0.2,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Zach Mettenberger,PIT,QB,NE,L 16-27,0.1/0.2,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Scott Tolzien,IND,QB,@Ten,W 34-26,0.1/0.2,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Colt McCoy,WAS,QB,@Det,L 17-20,0.1/0.2,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Drew Stanton,ARI,QB,Sea,T 6-6,0.1/0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Ryan Nassib,NYG,QB,@LA,W 17-10,0.1/0.2,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Ryan Fitzpatrick,NYJ,QB,Bal,W 24-16,0.1/0.2,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Luke McCown,NOR,QB,@KC,L 21-27,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Nick Foles,KAN,QB,NO,W 27-21,0.1/0.2,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Paxton Lynch,DEN,QB,Hou,W 27-9,0.1/0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Blaine Gabbert,SFO,QB,TB,L 17-34,0.1/0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Chase Daniel,PHI,QB,Min,W 21-10,0.1/0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Matt Barkley,CHI,QB,@GB,L 10-26,0.1/0.2,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Trevone Boykin,SEA,QB,@Ari,T 6-6,0.1/0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Tom Savage,HOU,QB,@Den,L 9-27,0.1/0.2,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Ryan Mallett,BAL,QB,@NYJ,L 16-24,0.1/0.2,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Shaun Hill,MIN,QB,@Phi,L 10-21,0.1/0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Kevin Hogan,CLE,QB,@Cin,L 17-31,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Matt Moore,MIA,QB,Buf,W 28-25,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Jared Goff,LAR,QB,NYG,L 10-17,0.1/0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Mike Vick,PIT,QB,NE,L 16-27,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Josh McCown,CLE,QB,@Cin,L 17-31,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Tony Romo,DAL,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Ben Roethlisberger,PIT,QB,NE,L 16-27,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Derek Anderson,CAR,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Jay Cutler,CHI,QB,@GB,L 10-26,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Tarvaris Jackson,SEA,QB,@Ari,T 6-6,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Charlie Whitehurst,CLE,QB,@Cin,L 17-31,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Bruce Gradkowski,PIT,QB,NE,L 16-27,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Josh Javon Johnson,NYG,QB,@LA,W 17-10,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Matt Flynn,NOR,QB,@KC,L 21-27,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Josh Freeman,IND,QB,@Ten,W 34-26,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Mark Sanchez,DAL,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Jimmy Clausen,BAL,QB,@NYJ,L 16-24,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Tim Tebow,FA,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Dan LeFevour,TAM,QB,@SF,W 34-17,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Joe Webb,CAR,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Thaddeus Lewis,SFO,QB,TB,L 17-34,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Christian Ponder,SFO,QB,TB,L 17-34,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Cam Newton,CAR,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
T.J. Yates,HOU,QB,@Den,L 9-27,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Jerrod Johnson,DAL,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Robert Griffin III,CLE,QB,@Cin,L 17-31,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Brandon Weeden,HOU,QB,@Den,L 9-27,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Kellen Moore,DAL,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Ryan Lindley,IND,QB,@Ten,W 34-26,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Austin Davis,DEN,QB,Hou,W 27-9,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Matt Simms,ATL,QB,SD,L 30-33,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Alex Tanney,TEN,QB,Ind,L 26-34,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Sean Renfree,ATL,QB,SD,L 30-33,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Zac Dysert,ARI,QB,Sea,T 6-6,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Ryan Griffin,TAM,QB,@SF,W 34-17,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Tyler Bray,KAN,QB,NO,W 27-21,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Teddy Bridgewater,MIN,QB,@Phi,L 10-21,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Johnny Manziel,CLE,QB,@Cin,L 17-31,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Tajh Boyd,PIT,QB,NE,L 16-27,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Logan Thomas,NYG,QB,@LA,W 17-10,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
David Fales,CHI,QB,@GB,L 10-26,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Keith Wenning,CIN,QB,Cle,W 31-17,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Aaron Murray,KAN,QB,NO,W 27-21,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Matt Blanchard,CHI,QB,@GB,L 10-26,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Dustin Vaughan,PIT,QB,NE,L 16-27,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Connor Shaw,CHI,QB,@GB,L 10-26,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Bryce Petty,NYJ,QB,Bal,W 24-16,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Dylan Thompson,LAR,QB,NYG,L 10-17,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Sean Mannion,LAR,QB,NYG,L 10-17,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Garrett Grayson,NOR,QB,@KC,L 21-27,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Christian Hackenberg,NYJ,QB,Bal,W 24-16,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Jacoby Brissett,NWE,QB,@Pit,W 27-16,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Connor Cook,OAK,QB,@Jax,W 33-16,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Dak Prescott,DAL,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Cardale Jones,BUF,QB,@Mia,L 25-28,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Nate Sudfeld,WAS,QB,@Det,L 17-20,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Jake Rudock,DET,QB,Wsh,W 20-17,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Brandon Allen,JAC,QB,Oak,L 16-33,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Jeff Driskel,CIN,QB,Cle,W 31-17,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Brandon Doughty,MIA,QB,Buf,W 28-25,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Taylor Heinicke,MIN,QB,@Phi,L 10-21,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Stephen Morris,IND,QB,@Ten,W 34-26,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Joe Callahan,CLE,QB,@Cin,L 17-31,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
DeMarco Murray,TEN,RB,Ind,L 26-34,0/0,0.0,0.0,0.0,21.3,100.1,0.7,3.3,27.3,0.2,,,,,,,,,,0.0,,,17.0
Le'Veon Bell,PIT,RB,NE,L 16-27,0/0,0.0,0.0,0.0,16.9,68.7,0.4,5.3,45.1,0.2,,,,,,,,,,0.0,,,13.7
David Johnson,ARI,RB,Sea,T 6-6,0/0,0.0,0.0,0.0,17.0,63.8,0.5,3.9,38.3,0.2,,,,,,,,,,0.0,,,12.9
Devonta Freeman,ATL,RB,SD,L 30-33,0/0,0.0,0.0,0.0,15.6,63.0,0.6,3.1,24.6,0.2,,,,,,,,,,0.0,,,12.7
Spencer Ware,KAN,RB,NO,W 27-21,0/0,0.0,0.0,0.0,12.9,63.6,0.7,2.1,22.6,0.1,,,,,,,,,,0.0,,,12.6
Todd Gurley,LAR,RB,NYG,L 10-17,0/0,0.0,0.0,0.0,19.2,72.6,0.5,3.0,22.2,0.1,,,,,,,,,,0.0,,,12.3
Melvin Gordon,SDG,RB,@Atl,W 33-30,0/0,0.0,0.0,0.0,18.7,68.1,0.6,3.0,20.3,0.1,,,,,,,,,,0.0,,,11.9
C.J. Anderson,DEN,RB,Hou,W 27-9,0/0,0.0,0.0,0.0,16.8,74.5,0.5,2.3,16.9,0.1,,,,,,,,,,0.0,,,11.5
Mark Ingram,NOR,RB,@KC,L 21-27,0/0,0.0,0.0,0.0,14.0,63.2,0.5,3.2,21.5,0.1,,,,,,,,,,0.0,,,11.4
Lamar Miller,HOU,RB,@Den,L 9-27,0/0,0.0,0.0,0.0,20.4,81.4,0.3,2.3,14.1,0.1,,,,,,,,,,0.0,,,11.3
Jacquizz Rodgers,TAM,RB,@SF,W 34-17,0/0,0.0,0.0,0.0,15.9,68.6,0.4,3.1,20.8,0.1,,,,,,,,,,0.0,,,10.8
Christine Michael,SEA,RB,@Ari,T 6-6,0/0,0.0,0.0,0.0,17.4,73.0,0.4,2.3,16.5,0.1,,,,,,,,,,0.0,,,10.8
LeSean McCoy,BUF,RB,@Mia,L 25-28,0/0,0.0,0.0,0.0,13.3,64.9,0.5,1.8,13.5,0.1,,,,,,,,,,0.0,,,10.5
Isaiah Crowell,CLE,RB,@Cin,L 17-31,0/0,0.0,0.0,0.0,14.2,61.1,0.5,1.6,12.3,0.0,,,,,,,,,,0.0,,,10.2
Jeremy Hill,CIN,RB,Cle,W 31-17,0/0,0.0,0.0,0.0,16.2,67.8,0.7,0.7,6.0,0.0,,,,,,,,,,0.0,,,10.0
Matt Jones,WAS,RB,@Det,L 17-20,0/0,0.0,0.0,0.0,14.3,63.7,0.5,1.7,17.0,0.1,,,,,,,,,,0.0,,,9.8
Frank Gore,IND,RB,@Ten,W 34-26,0/0,0.0,0.0,0.0,15.5,63.3,0.4,2.1,17.8,0.1,,,,,,,,,,0.0,,,9.8
Giovani Bernard,CIN,RB,Cle,W 31-17,0/0,0.0,0.0,0.0,10.1,43.4,0.4,3.6,33.6,0.1,,,,,,,,,,0.0,,,9.6
Zach Zenner,DET,RB,Wsh,W 20-17,0/0,0.0,0.0,0.0,12.5,58.8,0.3,2.6,20.2,0.1,,,,,,,,,,0.0,,,9.4
Mike Davis,SFO,RB,TB,L 17-34,0/0,0.0,0.0,0.0,15.2,53.2,0.7,1.1,9.5,0.0,,,,,,,,,,0.0,,,9.3
Jordan Howard,CHI,RB,@GB,L 10-26,0/0,0.0,0.0,0.0,13.7,54.8,0.3,2.8,21.5,0.1,,,,,,,,,,0.0,,,9.2
Tevin Coleman,ATL,RB,SD,L 30-33,0/0,0.0,0.0,0.0,8.5,34.1,0.4,3.4,34.0,0.2,,,,,,,,,,0.0,,,9.1
Jay Ajayi,MIA,RB,Buf,W 28-25,0/0,0.0,0.0,0.0,14.4,59.9,0.5,1.6,12.5,0.0,,,,,,,,,,0.0,,,9.1
LeGarrette Blount,NWE,RB,@Pit,W 27-16,0/0,0.0,0.0,0.0,13.9,61.1,0.4,0.6,4.7,0.0,,,,,,,,,,0.0,,,8.7
Terrance West,BAL,RB,@NYJ,L 16-24,0/0,0.0,0.0,0.0,16.0,56.6,0.5,1.9,15.4,0.0,,,,,,,,,,0.0,,,8.6
Jerick McKinnon,MIN,RB,@Phi,L 10-21,0/0,0.0,0.0,0.0,13.7,66.2,0.2,2.5,18.8,0.1,,,,,,,,,,0.0,,,8.6
James White,NWE,RB,@Pit,W 27-16,0/0,0.0,0.0,0.0,5.6,23.6,0.2,5.2,47.7,0.2,,,,,,,,,,0.0,,,8.3
T.J. Yeldon,JAC,RB,Oak,L 16-33,0/0,0.0,0.0,0.0,9.7,43.8,0.3,3.1,26.3,0.1,,,,,,,,,,0.0,,,8.2
Matt Forte,NYJ,RB,Bal,W 24-16,0/0,0.0,0.0,0.0,15.4,58.0,0.3,2.0,15.1,0.1,,,,,,,,,,0.0,,,8.2
Rashad Jennings,NYG,RB,@LA,W 17-10,0/0,0.0,0.0,0.0,12.4,52.4,0.3,2.2,15.6,0.0,,,,,,,,,,0.0,,,7.7
Latavius Murray,OAK,RB,@Jax,W 33-16,0/0,0.0,0.0,0.0,9.0,36.2,0.4,2.0,13.1,0.1,,,,,,,,,,0.0,,,6.8
Duke Johnson Jr.,CLE,RB,@Cin,L 17-31,0/0,0.0,0.0,0.0,5.7,24.1,0.2,4.1,33.6,0.1,,,,,,,,,,0.0,,,6.6
Chris Ivory,JAC,RB,Oak,L 16-33,0/0,0.0,0.0,0.0,10.4,48.1,0.4,1.0,8.4,0.0,,,,,,,,,,0.0,,,6.5
Shaun Draughn,SFO,RB,TB,L 17-34,0/0,0.0,0.0,0.0,9.4,31.8,0.4,1.4,11.8,0.1,,,,,,,,,,0.0,,,6.5
Ty Montgomery,GNB,RB,Chi,W 26-10,0/0,0.0,0.0,0.0,3.6,14.0,0.1,3.5,30.3,0.3,,,,,,,,,,0.0,,,6.3
Mike Gillislee,BUF,RB,@Mia,L 25-28,0/0,0.0,0.0,0.0,10.6,49.4,0.4,1.0,7.9,0.0,,,,,,,,,,0.0,,,6.3
Jamaal Charles,KAN,RB,NO,W 27-21,0/0,0.0,0.0,0.0,6.7,36.3,0.3,1.6,15.5,0.1,,,,,,,,,,0.0,,,6.0
Ryan Mathews,PHI,RB,Min,W 21-10,0/0,0.0,0.0,0.0,11.0,45.7,0.3,1.3,8.3,0.0,,,,,,,,,,0.0,,,5.6
Matt Asiata,MIN,RB,@Phi,L 10-21,0/0,0.0,0.0,0.0,7.1,30.3,0.2,1.8,13.2,0.1,,,,,,,,,,0.0,,,5.5
Justin Forsett,DET,RB,Wsh,W 20-17,0/0,0.0,0.0,0.0,8.0,39.4,0.2,2.1,13.9,0.1,,,,,,,,,,0.0,,,5.4
