Player,OwnCode,Team,Pos,Opp,WLScore,Cmp_Att,PsYds,PsTD,Int,RsAtt,RsYds,RsTD,Rec,RcYds,RcTD,Tgt,2PC,FumL,MiscTD,FFPts
Tyrod Taylor,BKN,BUF,QB,NYJ,L 31-37,18/30,297.0,3.0,1.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.3
Ryan Fitzpatrick,WA (Wed),NYJ,QB,@Buf,W 37-31,24/34,374.0,1.0,0.0,5.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.9
EJ Manuel,WA (Wed),BUF,QB,NYJ,L 31-37,1/1,10.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
Geno Smith,WA (Wed),NYJ,QB,@Buf,W 37-31,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bryce Petty,WA (Wed),NYJ,QB,@Buf,W 37-31,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christian Hackenberg,WA (Wed),NYJ,QB,@Buf,W 37-31,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cardale Jones,WA (Wed),BUF,QB,NYJ,L 31-37,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tom Brady,FA,NWE,QB,Mia,Sun 1:00,--/--,,,,,,,,,,,,,,
Mike Vick,FA,PIT,QB,Cin,Sun 1:00,--/--,,,,,,,,,,,,,,
Drew Brees,APE,NOR,QB,@NYG,Sun 1:00,--/--,,,,,,,,,,,,,,
Josh McCown,FA,CLE,QB,Bal,Sun 1:00,--/--,,,,,,,,,,,,,,
Shaun Hill,FA,MIN,QB,GB,Sun 8:30,--/--,,,,,,,,,,,,,,
Carson Palmer,GARI,ARI,QB,TB,Sun 4:05,--/--,,,,,,,,,,,,,,
Tony Romo,FA,DAL,QB,@Wsh,Sun 1:00,--/--,,,,,,,,,,,,,,
Eli Manning,SLIV,NYG,QB,NO,Sun 1:00,--/--,,,,,,,,,,,,,,
Philip Rivers,FUNK,SDG,QB,Jax,Sun 4:25,--/--,,,,,,,,,,,,,,
Ben Roethlisberger,LOS,PIT,QB,Cin,Sun 1:00,--/--,,,,,,,,,,,,,,
Matt Schaub,FA,ATL,QB,@Oak,Sun 4:25,--/--,,,,,,,,,,,,,,
Luke McCown,FA,NOR,QB,@NYG,Sun 1:00,--/--,,,,,,,,,,,,,,
Alex Smith,FA,KAN,QB,@Hou,Sun 1:00,--/--,,,,,,,,,,,,,,
Aaron Rodgers,NOG,GNB,QB,@Min,Sun 8:30,--/--,,,,,,,,,,,,,,
Dan Orlovsky,FA,DET,QB,Ten,Sun 1:00,--/--,,,,,,,,,,,,,,
Derek Anderson,FA,CAR,QB,SF,Sun 1:00,--/--,,,,,,,,,,,,,,
