Rk,Player,Team,Pos,Cmp_Att,PsYds,PsTD,Int,RsAtt,RsYds,RsTD,Rec,RcYds,RcTD,FFPts
150,Jonas Gray,JAC,RB,0/0,0,0,0,0,0,0,0,0,0,0
151,Travaris Cadet,NOR,RB,0/0,0,0,0,0,0,0,0,0,0,0
152,Bobby Rainey,NYG,RB,0/0,0,0,0,2,8.2,0,0,0,0,1.1
153,Jamize Olawale,OAK,RB,0/0,0,0,0,16,66.7,0.4,6,44.9,0.4,14.6
154,Montee Ball,FA,RB,0/0,0,0,0,0,0,0,0,0,0,0
155,Knile Davis,KAN,RB,0/0,0,0,0,6.3,24.5,0.2,0.5,3.4,0,3.5
156,Denard Robinson,JAC,RB,0/0,0,0,0,7.3,28.6,0.2,1.9,14.6,0.1,4.3
157,Mike James,TAM,RB,0/0,0,0,0,8.3,32.2,0.2,0,0,0,4.1
158,Rex Burkhead,CIN,RB,0/0,0,0,0,8.7,34.3,0.2,7.4,60.1,0.2,11.7
159,Tommy Bohanon,NYJ,RB,0/0,0,0,0,0,0,0,0,0,0,0
160,Stepfan Taylor,ARI,RB,0/0,0,0,0,2.1,8,0.1,2.1,15.4,0.1,1.8
161,Zac Stacy,NYJ,RB,0/0,0,0,0,0,0,0,0,0,0,0
162,Kyle Juszczyk,BAL,RB,0/0,0,0,0,2,6.7,0.1,23.8,201.7,1.5,29.1
163,Joseph Randle,FA,RB,0/0,0,0,0,0,0,0,0,0,0,0
164,Kerwynn Williams,ARI,RB,0/0,0,0,0,0,0,0,0,0,0,0
165,Kendall Gaskins,SFO,RB,0/0,0,0,0,0,0,0,0,0,0,0
166,Steven Miller,DET,RB,0/0,0,0,0,0,0,0,0,0,0,0
167,Zach Line,MIN,RB,0/0,0,0,0,6.6,22.1,0.4,4.1,30.7,0.2,8.6
168,George Winn,DET,RB,0/0,0,0,0,0,0,0,0,0,0,0
169,Khiry Robinson,NYJ,RB,0/0,0,0,0,0,0,0,0,0,0,0
170,Dri Archer,BUF,RB,0/0,0,0,0,0,0,0,0,0,0,0
171,Tre Mason*,LAR,RB,0/0,0,0,0,0,0,0,0,0,0,0
172,Bishop Sankey,TEN,RB,0/0,0,0,0,0,0,0,0,0,0,0
173,Tyler Gaffney*,NWE,RB,0/0,0,0,0,0,0,0,0,0,0,0
174,Storm Johnson,TAM,RB,0/0,0,0,0,0,0,0,0,0,0,0
175,Lache Seastrunk,NYJ,RB,0/0,0,0,0,0,0,0,0,0,0,0
176,Andre Williams,SDG,RB,0/0,0,0,0,7.7,30,0.1,0,0,0,2.8
177,Lorenzo Taliaferro*,BAL,RB,0/0,0,0,0,0,0,0,0,0,0,0
178,Marion Grice,ARI,RB,0/0,0,0,0,0,0,0,0,0,0,0
179,Damien Williams,MIA,RB,0/0,0,0,0,3.6,13.7,0.1,4.4,32,0.1,5.2
180,Juwan Thompson,DEN,RB,0/0,0,0,0,0,0,0,0,0,0,0
181,Kapri Bibbs,DEN,RB,0/0,0,0,0,21.3,84,0.6,3.7,27.2,0.1,14
182,Branden Oliver*,SDG,RB,0/0,0,0,0,0,0,0,0,0,0,0
183,Darrin Reaves,KAN,RB,0/0,0,0,0,0,0,0,0,0,0,0
184,Silas Redd*,WAS,RB,0/0,0,0,0,0,0,0,0,0,0,0
185,Ryan Hewitt,CIN,RB,0/0,0,0,0,0,0,0,8.1,60.4,0.5,8.9
186,Trey Watts,LAR,RB,0/0,0,0,0,0,0,0,0,0,0,0
187,Austin Johnson,NOR,RB,0/0,0,0,0,0,0,0,0,0,0,0
188,Jay Prosch,HOU,RB,0/0,0,0,0,4.3,14.4,0.2,0,0,0,2.2
189,Senorise Perry,CHI,RB,0/0,0,0,0,0,0,0,0,0,0,0
190,Glenn Winston*,CLE,RB,0/0,0,0,0,0,0,0,0,0,0,0
191,Roosevelt Nix,PIT,RB,0/0,0,0,0,0,0,0,2.2,16.7,0.1,1.9
192,Marcus Murphy,NOR,RB,0/0,0,0,0,0,0,0,0,0,0,3.5
193,Michael Burton,DET,RB,0/0,0,0,0,1.8,6,0.1,4.4,34.2,0.3,5.1
194,Jalston Fowler,TEN,RB,0/0,0,0,0,2.3,7.6,0.1,3.4,26.2,0.2,3.8
195,Malcolm Johnson,CLE,RB,0/0,0,0,0,1.9,6.2,0.1,3.7,27.2,0.2,3.6
196,Joey Iosefa,NWE,RB,0/0,0,0,0,0,0,0,0,0,0,0
197,David Cobb,TEN,RB,0/0,0,0,0,0,0,0,0,0,0,0
198,Karlos Williams,BUF,RB,0/0,0,0,0,0,0,0,0,0,0,0
199,Kenny Hilliard,HOU,RB,0/0,0,0,0,0,0,0,0,0,0,0
200,Josh Robinson,IND,RB,0/0,0,0,0,0,0,0,0,0,0,0
201,Aaron Ripkowski,GNB,RB,0/0,0,0,0,4,13.5,0.2,4,29.9,0.3,5.8
202,Tyler Varga,IND,RB,0/0,0,0,0,0,0,0,0,0,0,0
203,Michael Dyer,OAK,RB,0/0,0,0,0,0,0,0,0,0,0,0
204,John Crockett*,GNB,RB,0/0,0,0,0,0,0,0,0,0,0,0
205,Terrence Magee,LAR,RB,0/0,0,0,0,0,0,0,0,0,0,0
206,Gus Johnson,SDG,RB,0/0,0,0,0,0,0,0,0,0,0,0
207,Terron Ward,ATL,RB,0/0,0,0,0,7.8,29.8,0.2,4.7,34,0.1,6.9
208,Jarryd Hayne,SFO,RB,0/0,0,0,0,0,0,0,0,0,0,0
209,Brandon Wegher,CAR,RB,0/0,0,0,0,0,0,0,0,0,0,0
210,Alonzo Harris,GNB,RB,0/0,0,0,0,0,0,0,0,0,0,0
211,Corey Grant,JAC,RB,0/0,0,0,0,3.6,14.3,0.1,0,0,0,2.9
212,Nikita Whitlock*,NYG,RB,0/0,0,0,0,0,0,0,0,0,0,0
213,Raheem Mostert,CLE,RB,0/0,0,0,0,0,0,0,0,0,0,0
214,Rod Smith,DAL,RB,0/0,0,0,0,0,0,0,0,0,0,0
215,Trey Williams,IND,RB,0/0,0,0,0,0,0,0,0,0,0,0
216,Akeem Hunt,HOU,RB,0/0,0,0,0,0,0,0,0,0,0,0
217,Andy Janovich,DEN,RB,0/0,0,0,0,2.1,7.1,0.1,0,0,0,0.7
218,Derek Watt,SDG,RB,0/0,0,0,0,0,0,0,2.2,16.3,0.1,1.7
219,Kelvin Taylor,SFO,RB,0/0,0,0,0,0,0,0,0,0,0,0
220,Darius Jackson,DAL,RB,0/0,0,0,0,1.6,6.4,0,0,0,0,0.2
221,Daniel Lasco,NOR,RB,0/0,0,0,0,3.9,14.9,0.1,2.5,18.2,0.1,3.2
222,Keith Marshall*,WAS,RB,0/0,0,0,0,0,0,0,0,0,0,0
223,Zac Brooks,SEA,RB,0/0,0,0,0,0,0,0,0,0,0,0
224,Terrell Watson,CLE,RB,0/0,0,0,0,0,0,0,0,0,0,0
225,Brandon Wilds,ATL,RB,0/0,0,0,0,0,0,0,0,0,0,0
226,Jhurell Pressley,GNB,RB,0/0,0,0,0,12.1,47.8,0.3,0,0,0,5.6
227,Byron Marshall,PHI,RB,0/0,0,0,0,0,0,0,0,0,0,0
228,James Wilder Jr.,BUF,RB,0/0,0,0,0,0,0,0,0,0,0,0
229,Dreamius Smith,SDG,RB,0/0,0,0,0,0,0,0,0,0,0,0
230,Devon Johnson,CAR,RB,0/0,0,0,0,0,0,0,0,0,0,0
1,Antonio Brown,PIT,WR,0/0,0,0,0,3.9,25.2,0.1,134.4,1810.5,10.7,252.1
2,Odell Beckham Jr.,NYG,WR,0/0,0,0,0,0,0,0,100.2,1496.9,9.3,204
3,Julio Jones,ATL,WR,0/0,0,0,0,0,0,0,126.8,1755.7,7.3,217
4,DeAndre Hopkins,HOU,WR,0/0,0,0,0,0,0,0,97.4,1389.5,8.1,186.2
5,A.J. Green,CIN,WR,0/0,0,0,0,0,0,0,87.6,1278,9,180.6
6,Allen Robinson,JAC,WR,0/0,0,0,0,0,0,0,82.8,1316.8,8.5,181.6
7,Dez Bryant,DAL,WR,0/0,0,0,0,0,0,0,80,1142.2,9.1,168.1
8,Jordy Nelson,GNB,WR,0/0,0,0,0,0,0,0,80,1201.2,8.2,169
9,Brandon Marshall,NYJ,WR,0/0,0,0,0,0,0,0,97.1,1271.6,8.6,177.2
10,Alshon Jeffery,CHI,WR,0/0,0,0,0,0,0,0,88.3,1276.3,7.6,171.8
11,Mike Evans,TAM,WR,0/0,0,0,0,0,0,0,78.7,1187.3,7.9,165.4
12,Sammy Watkins,BUF,WR,0/0,0,0,0,2.3,14.2,0.1,73.1,1164.5,7.6,163.6
13,Brandin Cooks,NOR,WR,0/0,0,0,0,7.8,48.5,0.3,88.1,1063.6,6.7,151.9
14,Amari Cooper,OAK,WR,0/0,0,0,0,3.8,23.7,0.1,81.3,1072.7,7.1,152.5
15,Demaryius Thomas,DEN,WR,0/0,0,0,0,0,0,0,83.7,1078,6.4,144.8
16,Keenan Allen,SDG,WR,0/0,0,0,0,0,0,0,106,1205.9,6.3,158.3
17,T.Y. Hilton,IND,WR,0/0,0,0,0,1.8,11.1,0,76,1193.8,6.8,160.5
18,Julian Edelman,NWE,WR,0/0,0,0,0,8,49.8,0.2,86.2,922.1,6.5,136.4
19,Doug Baldwin,SEA,WR,0/0,0,0,0,0,0,0,75.2,996.8,7.2,142.2
20,Jarvis Landry,MIA,WR,0/0,0,0,0,14.2,59.4,0.4,105.8,1050,5.6,145.8
21,Jeremy Maclin,KAN,WR,0/0,0,0,0,3.8,24.1,0.2,86.5,1161.2,5.3,149.6
22,Randall Cobb,GNB,WR,0/0,0,0,0,16.2,73.9,0.4,82.3,972.7,7.1,149.7
23,Eric Decker,NYJ,WR,0/0,0,0,0,0,0,0,86.7,1137.6,8.4,163.6
24,Golden Tate,DET,WR,0/0,0,0,0,7.1,45.4,0.2,87.3,1024.7,5.1,138.2
25,Donte Moncrief,IND,WR,0/0,0,0,0,0,0,0,78.7,970.3,7.7,142.5
26,Emmanuel Sanders,DEN,WR,0/0,0,0,0,4.3,27,0.1,74.6,1030.8,4.4,132.7
27,Kelvin Benjamin,CAR,WR,0/0,0,0,0,0,0,0,63.9,861.2,8.1,134.6
28,Michael Floyd,ARI,WR,0/0,0,0,0,0,0,0,61,960.3,6.8,136.6
29,Larry Fitzgerald,ARI,WR,0/0,0,0,0,0,0,0,84.4,968.1,6.9,137.1
30,John Brown,ARI,WR,0/0,0,0,0,4.2,26,0.1,64.9,978.7,6,135.7
31,Jordan Matthews,PHI,WR,0/0,0,0,0,0,0,0,75.7,920.7,5.6,125
32,DeSean Jackson,WAS,WR,0/0,0,0,0,0,0,0,58.6,1037.6,4.8,132
33,Marvin Jones,DET,WR,0/0,0,0,0,0,0,0,72,1027.7,5.7,135.9
34,Allen Hurns,JAC,WR,0/0,0,0,0,0,0,0,55.6,764.4,5.2,106.4
35,Michael Crabtree,OAK,WR,0/0,0,0,0,0,0,0,72.5,824.6,7.1,124.5
36,DeVante Parker,MIA,WR,0/0,0,0,0,0,0,0,56.6,825.3,4.9,111.1
37,Tyler Lockett,SEA,WR,0/0,0,0,0,4.5,28.4,0.1,54.6,822.3,5.9,125.4
38,Kevin White,CHI,WR,0/0,0,0,0,0,0,0,57.7,838.4,4.7,111.1
39,Sterling Shepard,NYG,WR,0/0,0,0,0,0,0,0,67.6,845.4,4.9,112.9
40,Torrey Smith,SFO,WR,0/0,0,0,0,0,0,0,57.1,963.2,4.4,122.8
41,Stefon Diggs,MIN,WR,0/0,0,0,0,4.4,28,0.2,66.3,817.6,4.1,107.9
42,Josh Gordon,CLE,WR,0/0,0,0,0,0,0,0,52.2,805.4,3.9,103.1
43,Willie Snead,NOR,WR,0/0,0,0,0,0,0,0,68.1,866.7,4.4,111.9
44,Vincent Jackson,TAM,WR,0/0,0,0,0,0,0,0,52.2,798,5.2,110.3
45,Tavon Austin,LAR,WR,0/0,0,0,0,43.1,219.3,1.5,65,626.6,2.4,108.9
46,Devin Funchess,CAR,WR,0/0,0,0,0,0,0,0,49.3,677.9,5.7,101.3
47,Corey Coleman,CLE,WR,0/0,0,0,0,3.7,23.7,0.1,63.4,769.9,3.7,102.5
48,Travis Benjamin,SDG,WR,0/0,0,0,0,0,0,0,52.5,780.7,4.2,105.7
49,Michael Thomas,NOR,WR,0/0,0,0,0,0,0,0,58.7,777,6.1,113.2
50,Will Fuller,HOU,WR,0/0,0,0,0,2.2,13.7,0.1,49.7,782.5,4.9,108.4
51,Tajae Sharpe,TEN,WR,0/0,0,0,0,0,0,0,55,691.9,3.4,89
52,Mike Wallace,BAL,WR,0/0,0,0,0,2,12.5,0.1,53.7,700.8,4.8,99.8
53,Mohamed Sanu,ATL,WR,0/0,0,0,0,5.8,36.3,0.2,65.2,768.1,4.4,106.4
54,Phillip Dorsett,IND,WR,0/0,0,0,0,5.3,33.3,0.1,49.9,644.9,4.8,96.6
55,Chris Hogan,NWE,WR,0/0,0,0,0,2,12.5,0.1,52,591.8,4.9,89.2
56,Steve Smith Sr.,BAL,WR,0/0,0,0,0,0,0,0,58,812.7,4,104.5
57,Tyler Boyd,CIN,WR,0/0,0,0,0,8.7,55.2,0.3,45.3,585.4,3.8,87.5
58,Markus Wheaton,PIT,WR,0/0,0,0,0,0,0,0,48.7,670.7,4,91.9
59,Kenny Stills,MIA,WR,0/0,0,0,0,0,0,0,49.2,733.7,3.4,93.3
60,Kamar Aiken,BAL,WR,0/0,0,0,0,0,0,0,49.6,612.5,3.7,82.7
61,Terrelle Pryor,CLE,WR,0/0,0,0,0,3.7,23.7,0.1,41.7,567.6,3.5,79
62,Breshad Perriman,BAL,WR,0/0,0,0,0,0,0,0,32.7,471.9,3,64.8
63,Eli Rogers,PIT,WR,0/0,0,0,0,0,0,0,54.8,606.6,3.5,81.8
64,Dorial Green-Beckham,PHI,WR,0/0,0,0,0,0,0,0,26.9,389.3,2.7,54.2
65,Rishard Matthews,TEN,WR,0/0,0,0,0,0,0,0,50.1,637.2,3.3,82.9
66,Pierre Garcon,WAS,WR,0/0,0,0,0,0,0,0,60.4,713.4,4.7,99.6
67,Terrance Williams,DAL,WR,0/0,0,0,0,0,0,0,40.4,666.1,4.6,93.6
68,Anquan Boldin,DET,WR,0/0,0,0,0,0,0,0,53.2,699.7,3.4,89.2
69,Kenny Britt,LAR,WR,0/0,0,0,0,0,0,0,44.8,723.8,3.4,92.2
70,Laquon Treadwell,MIN,WR,0/0,0,0,0,0,0,0,39.8,541.4,2.6,69.5
71,Chris Conley,KAN,WR,0/0,0,0,0,0,0,0,44.2,492.6,3.1,67.5
72,Braxton Miller,HOU,WR,0/0,0,0,0,8.7,54.9,0.2,46.8,507.9,2.4,70.5
73,Ted Ginn Jr.,CAR,WR,0/0,0,0,0,4.7,29.8,0.1,36.7,546.4,3.4,79.1
74,Jamison Crowder,WAS,WR,0/0,0,0,0,1.9,12.1,0,51.5,482.2,3.1,68.8
75,Josh Doctson,WAS,WR,0/0,0,0,0,0,0,0,30.5,414.8,3.2,60
76,Sammie Coates,PIT,WR,0/0,0,0,0,0,0,0,21.7,283.8,2,41.1
77,Nelson Agholor,PHI,WR,0/0,0,0,0,0,0,0,27.6,343.9,2.1,46.4
78,Jaelen Strong,HOU,WR,0/0,0,0,0,0,0,0,31.7,377.7,2.8,53.5
79,Davante Adams,GNB,WR,0/0,0,0,0,0,0,0,32.8,370.9,3.3,56.6
80,Charles Johnson,MIN,WR,0/0,0,0,0,0,0,0,22.5,321.5,1.8,42.6
81,Tyrell Williams,SDG,WR,0/0,0,0,0,0,0,0,33.2,433.1,3,61.1
82,Kendall Wright,TEN,WR,0/0,0,0,0,4.5,28.7,0.1,39.8,491.9,2.1,64
83,Malcolm Mitchell,NWE,WR,0/0,0,0,0,0,0,0,17.5,227.5,1.5,31.1
84,Victor Cruz,NYG,WR,0/0,0,0,0,0,0,0,36.2,506,2.9,67.6
85,Quinton Patton,SFO,WR,0/0,0,0,0,0,0,0,52.8,585.4,3,76.4
86,Brandon LaFell,CIN,WR,0/0,0,0,0,0,0,0,27.7,359.8,2.2,48.1
87,Jermaine Kearse,SEA,WR,0/0,0,0,0,0,0,0,33.5,493.9,4.3,74.9
88,Robert Woods,BUF,WR,0/0,0,0,0,2.3,14.2,0.1,47,553.9,3.8,78.7
89,Seth Roberts,OAK,WR,0/0,0,0,0,0,0,0,33.9,397,3.3,58.8
90,Marqise Lee,JAC,WR,0/0,0,0,0,7.3,46.1,0.2,32.4,360.8,2.7,57.1
91,J.J. Nelson,ARI,WR,0/0,0,0,0,2.1,13,0.1,17.1,323.7,1.8,45.5
92,Rod Streater,SFO,WR,0/0,0,0,0,0,0,0,33.2,438.8,2,54.9
93,Quincy Enunwa,NYJ,WR,0/0,0,0,0,0,0,0,31.2,378,3,54.8
94,Eddie Royal,CHI,WR,0/0,0,0,0,2.2,14,0.1,37.4,399.8,2.3,54.2
95,Adam Humphries,TAM,WR,0/0,0,0,0,0,0,0,29.6,272.8,2.2,42.8
96,Jared Abbrederis,GNB,WR,0/0,0,0,0,0,0,0,12.1,155.1,1.4,23.2
97,Ty Montgomery,GNB,WR,0/0,0,0,0,4,25.6,0.1,9.7,124.7,1,21
98,Albert Wilson,KAN,WR,0/0,0,0,0,3.8,24.1,0.2,26.9,334.6,1.6,45.7
99,Cole Beasley,DAL,WR,0/0,0,0,0,0,0,0,47,471.5,2.8,63
100,Andre Johnson,TEN,WR,0/0,0,0,0,0,0,0,17.3,219.3,1.4,29.4
101,Leonte Carroo,MIA,WR,0/0,0,0,0,0,0,0,16,227.8,1.2,29.2
102,Pharoh Cooper,LAR,WR,0/0,0,0,0,3.7,23.2,0.1,24.4,284.3,0.9,36.5
103,Adam Thielen,MIN,WR,0/0,0,0,0,2.2,14,0.1,22.2,277.1,1.6,37.9
104,Jerricho Cotchery,CAR,WR,0/0,0,0,0,0,0,0,0,0,0,0
105,Wes Welker,LAR,WR,0/0,0,0,0,0,0,0,0,0,0,0
106,Roddy White,ATL,WR,0/0,0,0,0,0,0,0,0,0,0,0
107,Joshua Cribbs,IND,WR,0/0,0,0,0,0,0,0,0,0,0,0
108,Nate Washington,NWE,WR,0/0,0,0,0,0,0,0,0,0,0,0
109,Lance Moore,ATL,WR,0/0,0,0,0,0,0,0,0,0,0,0
110,Greg Jennings,MIA,WR,0/0,0,0,0,0,0,0,0,0,0,0
111,Devin Hester,BAL,WR,0/0,0,0,0,0,0,0,0,0,0,1.5
112,Derek Hagan,TEN,WR,0/0,0,0,0,0,0,0,0,0,0,0
113,Jason Avant,KAN,WR,0/0,0,0,0,0,0,0,0,0,0,0
114,Marques Colston,NOR,WR,0/0,0,0,0,0,0,0,0,0,0,0
115,Miles Austin,PHI,WR,0/0,0,0,0,0,0,0,0,0,0,0
116,Calvin Johnson,DET,WR,0/0,0,0,0,0,0,0,0,0,0,0
117,Dwayne Bowe,CLE,WR,0/0,0,0,0,0,0,0,0,0,0,0
118,Jacoby Jones,PIT,WR,0/0,0,0,0,0,0,0,0,0,0,0
119,James Jones,SDG,WR,0/0,0,0,0,0,0,0,0,0,0,0
120,Eric Weems,ATL,WR,0/0,0,0,0,0,0,0,1.9,23.3,0.1,4.2
121,Jerome Simpson,SFO,WR,0/0,0,0,0,0,0,0,0,0,0,0
122,Harry Douglas,TEN,WR,0/0,0,0,0,0,0,0,2.7,36.4,0.2,6
123,Andre Jerome Caldwell,DET,WR,0/0,0,0,0,0,0,0,0,0,0,0
124,Matthew Slater,NWE,WR,0/0,0,0,0,0,0,0,0,0,0,0
125,Stevie Johnson*,SDG,WR,0/0,0,0,0,0,0,0,0,0,0,0
126,Danny Amendola,NWE,WR,0/0,0,0,0,2,12.5,0.1,10.3,133.1,1,21
127,Brandon Gibson,NWE,WR,0/0,0,0,0,0,0,0,0,0,0,0
128,Brian Hartline,CLE,WR,0/0,0,0,0,0,0,0,0,0,0,0
129,Percy Harvin,BUF,WR,0/0,0,0,0,0,0,0,0,0,0,0
130,Darrius Heyward-Bey,PIT,WR,0/0,0,0,0,0,0,0,7.2,93.3,0.7,13.2
131,Louis Murphy*,TAM,WR,0/0,0,0,0,0,0,0,2.1,26.8,0.2,3.1
132,Hakeem Nicks,NOR,WR,0/0,0,0,0,0,0,0,0,0,0,0
133,Jordan Norwood,DEN,WR,0/0,0,0,0,0,0,0,5.6,71.8,0.4,11.5
134,Kevin Ogletree,NYG,WR,0/0,0,0,0,0,0,0,0,0,0,0
135,Brandon Tate,CIN,WR,0/0,0,0,0,0,0,0,0,0,0,0
136,Arrelious Benn,JAC,WR,0/0,0,0,0,0,0,0,0,0,0,0
137,Marcus Easley*,BUF,WR,0/0,0,0,0,0,0,0,0.6,7,0.1,0.3
138,Riley Cooper,PHI,WR,0/0,0,0,0,0,0,0,0,0,0,0
139,Andre Roberts,DET,WR,0/0,0,0,0,0,0,0,5.6,73.9,0.4,11
140,Marc Mariani,TEN,WR,0/0,0,0,0,0,0,0,0,0,0,1.1
141,Kyle Williams,NYJ,WR,0/0,0,0,0,0,0,0,0,0,0,0
142,Mike Williams,KAN,WR,0/0,0,0,0,0,0,0,0,0,0,0
143,Seyi Ajirotutu,PHI,WR,0/0,0,0,0,0,0,0,0,0,0,0
144,Marlon Moore*,CLE,WR,0/0,0,0,0,0,0,0,0,0,0,0
145,Bryan Walters,JAC,WR,0/0,0,0,0,0,0,0,1.5,19.4,0.1,1.8
146,Preston Parker,FA,WR,0/0,0,0,0,0,0,0,0,0,0,0
147,Danario Alexander,SDG,WR,0/0,0,0,0,0,0,0,0,0,0,0
148,Andrew Hawkins,CLE,WR,0/0,0,0,0,1.9,11.8,0,18.7,211.2,0.8,27.2
149,Leonard Hankerson,BUF,WR,0/0,0,0,0,0,0,0,0,0,0,0
150,Greg Little,BUF,WR,0/0,0,0,0,0,0,0,0,0,0,0
151,Vincent Brown,NOR,WR,0/0,0,0,0,0,0,0,0,0,0,0
152,Dwayne Harris,NYG,WR,0/0,0,0,0,2,13.1,0.1,3.4,44.7,0.3,10.3
153,Greg Salas,BUF,WR,0/0,0,0,0,0,0,0,11.3,123.6,1,17.9
154,Jeremy Kerley,SFO,WR,0/0,0,0,0,0,0,0,28.7,329.8,1.3,40.7
155,Denarius Moore,BUF,WR,0/0,0,0,0,0,0,0,0,0,0,0
156,Aldrick Robinson,ATL,WR,0/0,0,0,0,0,0,0,7.4,93,0.5,11.9
157,Cecil Shorts III,HOU,WR,0/0,0,0,0,0,0,0,0,0,0,0
158,Ricardo Lockette,SEA,WR,0/0,0,0,0,0,0,0,0,0,0,0
159,Andre Holmes,OAK,WR,0/0,0,0,0,0,0,0,6.4,80.6,0.7,11.9
160,Joe Morgan,BAL,WR,0/0,0,0,0,0,0,0,0,0,0,0
161,Jeremy Ross,NYJ,WR,0/0,0,0,0,0,0,0,0,0,0,0
162,Justin Blackmon,JAC,WR,0/0,0,0,0,0,0,0,0,0,0,0
163,Stephen Hill,CAR,WR,0/0,0,0,0,0,0,0,0,0,0,0
164,Rueben Randle,PHI,WR,0/0,0,0,0,0,0,0,0,0,0,0
165,Brian Quick,LAR,WR,0/0,0,0,0,0,0,0,16.3,235.5,1.3,31
166,Keshawn Martin,NWE,WR,0/0,0,0,0,0,0,0,0,0,0,0
167,Jarius Wright,MIN,WR,0/0,0,0,0,0,0,0,5.8,75.5,0.4,9.3
168,T.J. Graham,PHI,WR,0/0,0,0,0,0,0,0,0,0,0,0
169,Nick Toon,LAR,WR,0/0,0,0,0,0,0,0,0,0,0,0
170,DeVier Posey,DEN,WR,0/0,0,0,0,0,0,0,0,0,0,0
171,LaVon Brazill,IND,WR,0/0,0,0,0,0,0,0,0,0,0,0
172,Chris Givens,PHI,WR,0/0,0,0,0,0,0,0,0,0,0,0
173,Kashif Moore,KAN,WR,0/0,0,0,0,0,0,0,0,0,0,0
174,Nathan Palmer,OAK,WR,0/0,0,0,0,0,0,0,0,0,0,0
175,Chris Owusu,NYJ,WR,0/0,0,0,0,0,0,0,0,0,0,0
176,Brian Tyms,IND,WR,0/0,0,0,0,0,0,0,0,0,0,0
177,Jeff Fuller*,SEA,WR,0/0,0,0,0,0,0,0,0,0,0,0
178,Jarrett Boykin,BUF,WR,0/0,0,0,0,0,0,0,0,0,0,0
179,Griff Whalen,MIA,WR,0/0,0,0,0,0,0,0,0,0,0,0
180,Deonte Thompson,CHI,WR,0/0,0,0,0,0,0,0,2.3,29.7,0.2,5.9
181,LaRon Byrd*,CAR,WR,0/0,0,0,0,0,0,0,0,0,0,0
182,Joshua Bellamy,CHI,WR,0/0,0,0,0,0,0,0,2.3,29.7,0.2,3
183,Brittan Golden,ARI,WR,0/0,0,0,0,0,0,0,0,0,0,0
184,Damaris Johnson,TEN,WR,0/0,0,0,0,0,0,0,0,0,0,0
185,Cordarrelle Patterson,MIN,WR,0/0,0,0,0,4.4,28,0.2,5.8,75.5,0.4,15.1
186,Stedman Bailey*,LAR,WR,0/0,0,0,0,0,0,0,0,0,0,0
187,Aaron Dobson,NWE,WR,0/0,0,0,0,0,0,0,0,0,0,0
188,Marquise Goodwin,BUF,WR,0/0,0,0,0,0,0,0,13.4,222.7,1.3,31.1
189,Justin Hunter,MIA,WR,0/0,0,0,0,0,0,0,3.5,43.4,0.3,5.5
190,Brice Butler,DAL,WR,0/0,0,0,0,0,0,0,12.1,157.6,1.2,22.3
191,B.J. Daniels,CHI,WR,0/0,0,0,0,0,0,0,0,0,0,0
192,Tavarres King,NYG,WR,0/0,0,0,0,0,0,0,10.2,134.1,1,19
193,Cobi Hamilton,PIT,WR,0/0,0,0,0,0,0,0,0,0,0,0
194,Josh Boyce,CLE,WR,0/0,0,0,0,0,0,0,0,0,0,0
195,Chris Harper,NYG,WR,0/0,0,0,0,0,0,0,0,0,0,0
196,Corey Fuller*,DET,WR,0/0,0,0,0,0,0,0,1.6,21.2,0.1,2.8
197,Marquess Wilson*,CHI,WR,0/0,0,0,0,0,0,0,3.1,39.7,0.2,4.3
198,Da'Rick Rogers,KAN,WR,0/0,0,0,0,0,0,0,0,0,0,0
199,Jaron Brown,ARI,WR,0/0,0,0,0,0,0,0,3.3,41.6,0.3,6
200,Russell Shepard,TAM,WR,0/0,0,0,0,0,0,0,5.6,68.7,0.5,9.5
201,Ryan Spadola*,DET,WR,0/0,0,0,0,0,0,0,0,0,0,0
202,Nick Williams,ATL,WR,0/0,0,0,0,0,0,0,0,0,0,0
203,Rodney Smith,DAL,WR,0/0,0,0,0,0,0,0,0,0,0,0
204,Kenbrell Thompkins*,NYJ,WR,0/0,0,0,0,0,0,0,0,0,0,0
205,Myles White,NYG,WR,0/0,0,0,0,0,0,0,0,0,0,0
206,Marlon Brown,BAL,WR,0/0,0,0,0,0,0,0,0,0,0,0
207,Josh Huff,PHI,WR,0/0,0,0,0,0,0,0,16.6,168.9,1.1,24.5
208,Paul Richardson,SEA,WR,0/0,0,0,0,0,0,0,11.8,143.4,1.3,21.8
209,Cody Latimer,DEN,WR,0/0,0,0,0,2.1,13.5,0.1,15.5,175.2,0.9,23.7
210,Shaq Evans,JAC,WR,0/0,0,0,0,0,0,0,0,0,0,0
211,Jeremy Gallon,NWE,WR,0/0,0,0,0,0,0,0,0,0,0,0
212,Kevin Norwood*,CAR,WR,0/0,0,0,0,0,0,0,0,0,0,0
213,Martavis Bryant,PIT,WR,0/0,0,0,0,0,0,0,0,0,0,0
214,Jalen Saunders,NWE,WR,0/0,0,0,0,0,0,0,0,0,0,0
215,De'Anthony Thomas,KAN,WR,0/0,0,0,0,3.8,24.1,0.2,2.9,37.6,0.2,8
216,Bruce Ellington*,SFO,WR,0/0,0,0,0,0,0,0,0,0,0,0
217,Devin Street,DAL,WR,0/0,0,0,0,0,0,0,0,0,0,0
218,Dontrelle Inman,SDG,WR,0/0,0,0,0,0,0,0,14.2,181.3,1.2,25.3
